■ 영화상영관정보,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,
조회일,,,,,,,,,,,,,,,,,,,,
: 2024-08-29,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,
출처,,,,,,,,,,,,,,,,,,,,
: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,,,,
▶ 검색조건 [ 영화상영관명 : 전체   영화상영관코드 : 전체   영화상영관구분 : 상설   가입여부 : 가입   영업상태 : 전체   광역단체 : 전체   기초단체 : 전체   전송사업자 : 전체 ],,,,,,,,,,,,,,,,,,,,
광역단체,기초단체,영화상영관코드,영화상영관명,총 스크린수,총 좌석수,필름 상영관수,2D 상영관수,3D 상영관수,4D 상영관수,IMAX 상영관수,상설여부,특별관운영여부,가입여부,전송사업자명,개관일,영업상태,운영형태,주소,전화번호,홈페이지
울산시,중구,014009,메가박스 울산,8,"1,141",0,8,1,0,0,상설,,가입,메가박스(주),2004-12-23,영업,위탁,울산광역시 중구 성남동 251-8 번지 2층,1544-0070,http://www.megabox.co.kr/
충청북도,제천시,004052,제천 의림지 자동차 극장,1,92,0,1,0,0,0,상설,,가입,문화인,2023-09-27,영업,직영,충청북도 제천시 모산동 203-13 번지,043-641-4933,jucc.moonhwain.net
서울시,성동구,001154,CGV 왕십리,11,"2,368",0,10,9,1,1,상설,,가입,CJ올리브네트웍스(주),2008-12-24,영업,직영,서울특별시 성동구 행당동 168-151 번지 (왕십리 민자역사 5층),1544-1122,http://www.cgv.co.kr
충청북도,영동군,004038,영동 레인보우 영화관,2,97,0,2,1,0,0,상설,,가입,(주)디트릭스,2016-10-13,영업,직영,충청북도 영동군 영동읍 679-4 번지 영동 레인보우 영화관,043-743-7718,https://yeongdong.scinema.kr/
경기도,오산시,002114,롯데시네마 오산(원동),5,375,0,6,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2006-06-27,영업,위탁,경기도 오산시 원동 300-8 번지 씨네마아울렛 5층,1544-0070,http://www.lottecinema.co.kr
전라북도,장수군,008238,장수 한누리영화관,2,90,0,2,1,0,0,상설,,가입,(주)디트릭스,2023-08-04,영업,위탁,전라북도 장수군 장수읍 474 번지 장수한누리전당 가람관 1층,063-353-7718,https://jangsu.scinema.kr/
경기도,안양시,002204,롯데시네마 평촌(범계역),7,"1,492",0,7,4,1,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2012-03-29,영업,직영,경기도 안양시 동안구 호계동 1039 번지,1544-8855,http://www.lottecinema.co.kr/
경상남도,의령군,007095,의령도깨비영화관,2,100,0,2,1,0,0,상설,,가입,(주)디트릭스,2023-07-26,영업,위탁,경상남도 의령군 의령읍 712 번지,055-573-7718,https://uiryeong.scinema.kr/
경기도,수원시,002303,메가박스 수원AK플라자,8,"1,918",0,0,0,0,0,상설,,가입,메가박스(주),2023-08-11,영업,직영,"경기도 수원시 팔달구 매산로1가 18 번지 (매산로1가, 수원역사 6층)",02-1544-0070,http://www.megabox.co.kr/
경기도,파주시,002302,롯데시네마 파주롯데아울렛,7,924,0,7,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2023-07-29,영업,위탁,,,
제주도,서귀포시,010022,씨네라운지,2,36,0,2,0,0,0,상설,,가입,(주)디트릭스,2023-07-26,영업,직영,제주도 서귀포시 안덕면 서광리 635-21 번지 신화월드 메리어트관 G층,064-908-1247,www.monoplex.com
경기도,동두천시,002301,CGV 동두천,4,346,0,4,4,0,0,상설,,가입,CJ올리브네트웍스(주),2023-08-09,영업,위탁,경기도 동두천시 생연동 483-030 번지 364-1,,
경기도,용인시,002125,CGV 신세계경기,6,666,0,7,2,1,0,상설,,가입,CJ올리브네트웍스(주),2007-03-22,영업,직영,경기도 용인시 수지구 죽전동 1285 번지 신세계백화점 8층,1544-1122,http://www.cgv.co.kr
경기도,가평군,002283,조종시네마,2,99,0,2,0,0,0,상설,,가입,(주)디트릭스,2021-12-24,영업,위탁,경기도 가평군 조종면 410-6 번지 3층,02-323-1718,www.olcinema.co.kr
대구시,동구,012051,메가박스 대구신세계,6,901,0,6,2,0,0,상설,,가입,메가박스(주),2016-12-15,영업,직영,대구광역시 동구 신천동 1506 번지 신세계백화점 8층,1544-0070,http://www.megabox.co.kr/
경기도,구리시,002300,CGV 구리갈매,6,492,0,6,1,0,0,상설,,가입,CJ올리브네트웍스(주),2023-07-14,영업,위탁,경기도 구리시 갈매동 552-4 번지 B2F,1544-1122,https://www.cgv.co.kr
서울시,강남구,001169,메가박스 강남대로(씨티),2,470,0,4,2,0,0,상설,,가입,메가박스(주),2016-06-09,영업,위탁,서울특별시 강남구 역삼동 816 번지,,
서울시,강남구,001293,씨티극장,2,249,0,2,0,0,0,상설,,가입,(주)디트릭스,,영업,직영,서울특별시 강남구 역삼동 816 번지 지하 3층,,
광주시,동구,016042,CGV 광주충장로,5,652,0,5,0,0,0,상설,,가입,CJ올리브네트웍스(주),2017-01-26,영업,위탁,광주광역시 동구 충장로4가 29-2 번지 NC웨이브 11층,1544-1122,https://www.cgv.co.kr
광주시,광산구,016045,롯데시네마 광주광산,8,733,0,8,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2018-04-19,영업,위탁,광주광역시 광산구 우산동 1597-1 번지,1544-8855,https://www.lottecinema.co.kr
대전시,대덕구,013039,소소아트시네마,1,58,0,1,0,0,0,상설,,가입,(주)에스아이티랩,2023-05-31,영업,직영,대전광역시 대덕구 오정동 172-5 번지 3층,042-623-1623,sosoartcinema.tistory.com
경기도,양평군,002189,양평시네마,1,152,0,1,0,0,0,상설,,가입,(주)유유코리아,1994-10-29,영업,직영,경기도 양평군 양평읍 422-2 번지,031-771-2154,http://www.ypcinema.com
전라남도,진도군,009056,진도아리랑 시네마,2,98,0,2,1,0,0,상설,,가입,(주)디트릭스,2017-07-20,영업,직영,전라남도 진도군 진도읍 1140 번지 진도아리랑 시네마,061-544-7790,https://jindo.littlecinema.co.kr/
경기도,포천시,002248,포천자동차극장,2,60,0,2,0,0,0,상설,,가입,(주)디트릭스,,영업,직영,경기도 포천시 소흘읍 41 번지,031-541-5442,http://www.pocheoncarmovie.co.kr/
경기도,양주시,002257,장흥자동차극장,2,45,0,2,0,0,0,상설,,가입,문화인,2019-09-13,영업,직영,경기도 양주시 장흥면 44-18 번지,,
충청북도,청원군,004019,오송자동차극장,1,17,0,1,0,0,0,상설,,가입,(주)디트릭스,,영업,직영,충청북도 청원군 강외면 서평리 600-4 번지,043-238-0590,
강원도,강릉시,003209,강릉자동차극장,1,30,0,1,0,0,0,상설,,가입,문화인,2017-07-19,영업,직영,강원도 강릉시 구정면 478-132 번지,033-645-7200,www.강릉자동차극장.com
부산시,사하구,011053,CGV 하단아트몰링,7,750,0,7,1,0,0,상설,,가입,CJ올리브네트웍스(주),2017-03-03,영업,위탁,부산광역시 사하구 하단동 526-6 번지 CGV 하단아트몰링,1544-1122,https://www.cgv.co.kr
인천시,서구,015070,CGV 인천가정,4,515,0,4,0,0,0,상설,,가입,CJ올리브네트웍스(주),2023-04-28,영업,직영,"인천광역시 서구 가정동 0 번지 루원지웰시티푸르지오 상가동 지하1층, CGV 인천가정",1544-1122,https://www.cgv.co.kr
부산시,기장군,011063,CGV 정관,9,627,0,9,1,0,0,상설,,가입,CJ올리브네트웍스(주),2017-12-21,영업,위탁,부산광역시 기장군 정관읍 717-6 번지 조은플러스 10층 CGV,051-717-3850,https://www.cgv.co.kr
경상남도,함안군,007094,함안군 작은영화관,2,98,0,2,1,0,0,상설,,가입,(주)디트릭스,2023-05-03,영업,위탁,경상남도 함안군 가야읍 58-132 번지 함안군 작은영화관,02-2214-7718,haman.scinema.kr
경상남도,창원시 성산구,007036,메가박스 창원,7,508,0,7,0,0,0,상설,,가입,메가박스(주),2005-07-02,영업,위탁,경상남도 창원시 성산구 중앙동 99-1 번지 메가플렉스 8층,1544-0070,http://www.megabox.co.kr/
경기도,남양주시,002297,CGV 남양주 화도,7,538,0,7,0,0,0,상설,,가입,CJ올리브네트웍스(주),2023-05-03,영업,위탁,경기도 남양주시 화도읍 녹촌리 산19 번지 해동본타워,1544-1122,https://www.cgv.co.kr
경기도,고양시,002296,CGV 고양백석,7,"1,130",0,7,0,0,0,상설,,가입,CJ올리브네트웍스(주),2023-04-28,영업,직영,경기도 고양시 일산동구 백석동 1242 번지 고양종합터미널 5~7F CGV 고양백석,1544-1122,https://www.cgv.co.kr
충청남도,아산시,005073,CGV 아산,6,636,0,6,1,0,0,상설,,가입,CJ올리브네트웍스(주),2023-01-13,영업,위탁,"충청남도 아산시 온천동 79-1 번지 아산시네파크 CGV아산 5,6층",1544-1122,https://www.cgv.co.kr
부산시,영도구,011077,CGV 드라이브 인 영도,1,142,0,1,0,0,0,상설,,가입,CJ올리브네트웍스(주),2023-04-27,영업,위탁,부산광역시 영도구 동삼동 19-2 번지,051-405-8745,http://www.cgv.co.kr
서울시,광진구,001251,CGV 건대입구,5,754,0,5,2,0,0,상설,,가입,CJ올리브네트웍스(주),2018-01-30,영업,직영,서울특별시 광진구 자양동 9-4 번지 몰오브케이 3층,1544-1122,http://www.cgv.co.kr
대구시,동구,012032,롯데시네마 대구율하,6,"1,394",0,6,3,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2010-07-15,영업,직영,대구광역시 동구 율하동 1117 번지,1544-8855,http://www.lottecinema.co.kr/
서울시,광진구,001121,롯데시네마 건대입구,10,"2,138",0,11,5,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2007-01-26,영업,직영,서울특별시 광진구 자양동 227-7 번지,1544-8855,http://www.lottecinema.co.kr/
제주도,제주시,010021,롯데시네마 제주연동,6,755,0,6,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2022-12-09,영업,직영,제주특별자치도 제주시 연동 1454 번지 롯데시네마 제주연동(나인몰) B1F,02-1544-8855,http://www.lottecinema.co.kr/
경상남도,양산시,007076,롯데시네마 양산물금,5,454,0,5,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2016-12-20,영업,위탁,경상남도 양산시 물금읍 1269-13 번지 큐엠시네마타워 4층,1544-8855,https://www.lottecinema.co.kr
경상남도,김해시,007065,롯데시네마 김해아울렛,6,"1,023",0,6,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2013-06-28,영업,직영,경상남도 김해시 신문동 1414 번지 롯데아울렛 신관 4층,1544-8855,http://www.lottecinema.co.kr
경상남도,사천시,007071,롯데시네마 사천,6,629,0,6,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2015-09-15,영업,위탁,경상남도 사천시 사천읍 331 번지,,
경상남도,통영시,007055,롯데시네마 통영,7,858,0,7,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2010-04-02,영업,위탁,경상남도 통영시 무전동 986 번지,1544-8855,http://www.lottecinema.co.kr/
경상남도,진주시,007082,롯데시네마 엠비씨네(진주),9,943,0,9,3,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2018-12-07,영업,위탁,경상남도 진주시 가좌동 700-1 번지 롯데시네마 진주엠비씨네,02-1544-8855,https://www.lottecinema.co.kr
경상남도,창원시 성산구,007012,롯데시네마 창원,7,"1,319",0,7,4,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2002-02-28,영업,직영,경상남도 창원시 성산구 상남동 79 번지,1544-8855,http://www.lottecinema.co.kr/
경상북도,상주시,006084,롯데시네마 상주,4,471,0,4,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2020-01-21,영업,위탁,경상북도 상주시 서문동 140-2 번지,,www.lottecinema.co.kr
경상북도,영천시,006088,롯데시네마 영천,6,612,0,6,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2021-09-09,영업,위탁,경상북도 영천시 완산동 1402 번지 고은스퀘어 2층 롯데시네마 영천,054-337-0740,http://www.lottecinema.co.kr
경상북도,구미시,006038,롯데시네마 구미공단,8,"1,204",0,8,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2006-04-27,영업,직영,"경상북도 구미시 공단동 253-2 번지 4층일부,5~7층전체",1544-8855,http://www.lottecinema.co.kr/
경상북도,구미시,006079,롯데시네마 프리미엄구미센트럴,7,513,0,7,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2018-08-08,영업,위탁,경상북도 구미시 원평동 147-9 번지 5층 롯데시네마 사무실,1544-8855,
경상북도,안동시,006035,롯데시네마 프리미엄 안동,5,343,0,5,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2014-04-16,영업,위탁,경상북도 안동시 옥동 734 번지 A동 401/501호 (옥동 테마프라자),1544-8855,http://lottecinama.co.kr
경상남도,김해시,007031,CGV 김해,9,"1,531",0,9,4,1,0,상설,,가입,CJ올리브네트웍스(주),2005-03-12,영업,직영,경상남도 김해시 내동 1131-4 번지 휴앤락몰 4층,1544-1122,http://www.cgv.co.kr
경상북도,경주시,006062,롯데시네마 경주,2,279,0,2,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2012-01-13,영업,위탁,경상북도 경주시 노동동 73-2 번지 2층,1544-8855,http://www.lottecinema.co.kr/
경상북도,포항시,006036,롯데시네마 포항,8,712,0,8,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2009-04-21,영업,위탁,경상북도 포항시 북구 대흥동 563-3 번지 3층~9층,1544-8855,http://www.lottecinema.co.kr/
전라북도,전주시,008226,CGV 전주고사,8,"1,275",0,8,4,1,0,상설,,가입,CJ올리브네트웍스(주),2016-02-03,영업,직영,전라북도 전주시 완산구 고사동 355-1 번지,1544-1122,
전라북도,군산시,008041,롯데시네마 군산나운,7,"1,085",0,7,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2017-11-01,영업,직영,전라북도 군산시 나운동 114-34 번지 롯데시네마,,
전라북도,전주시,008020,롯데시네마 전주(백화점),8,"1,632",0,8,4,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2004-05-28,영업,직영,전라북도 전주시 완산구 서신동 971 번지 롯데백화점 7층,1544-8855,http://www.lottecinema.co.kr/
충청남도,당진군,005068,롯데시네마 당진,7,704,0,7,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2020-12-10,영업,위탁,"충청남도 당진시 수청동 1041 번지 7,8,9층",070-1811-7707,
충청남도,서산시,005039,롯데시네마 서산,7,945,0,7,3,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2011-04-28,영업,위탁,충청남도 서산시 동문동 193-1 번지,1544-8855,http://www.lottecinema.co.kr/
충청북도,충주시,004047,롯데시네마 충주,5,746,0,5,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2019-09-19,영업,위탁,,,
충청북도,청주시,004039,롯데시네마 청주용암,8,"1,282",0,8,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2016-11-25,영업,직영,충청북도 청주시 상당구 용암동 1703 번지,1544-8855,https://www.lottecinema.co.kr
서울시,영등포구,001104,롯데시네마 영등포,7,"1,328",0,7,4,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2005-04-29,영업,직영,서울특별시 영등포구 영등포동 618-496 번지 A동 7~9층,1544-8855,http://www.lottecinema.co.kr/
강원도,동해시,003042,롯데시네마 동해,5,719,0,5,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2009-02-22,영업,직영,강원도 동해시 천곡동 864 번지,1544-8855,http://www.lottecinema.co.kr/
강원도,원주시,003024,롯데시네마 남원주,7,687,0,7,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2005-10-28,영업,위탁,"강원도 원주시 단구동 1511-2 번지 스타월드 5,6층",1544-8855,http://www.lottecinema.co.kr/
강원도,춘천시,003198,롯데시네마 춘천,6,448,0,6,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2014-05-01,영업,위탁,강원도 춘천시 죽림동 189 번지,1544-1122,
경기도,화성시,002224,롯데시네마 향남,5,680,0,5,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2016-09-26,영업,직영,경기도 화성시 향남읍 하길리 1410-1 번지 701호,02-1544-8855,http://www.lottecinema.co.kr
경기도,화성시,002276,롯데시네마 동탄,6,"1,117",0,6,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2021-08-18,영업,직영,경기도 화성시 오산동 967-157 번지 롯데백화점 7층 롯데시네마 동탄,02-1544-8855,www.lottecinema.co.kr
경기도,안성시,001207,롯데시네마 안성,2,164,0,2,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2013-07-19,영업,위탁,경기도 안성시 공도읍 306 번지,1544-8855,www.lottecinema.co.kr
경기도,파주시,002225,롯데시네마 파주운정,7,"1,238",0,7,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2016-12-22,영업,직영,경기도 파주시 목동동 927 번지 17 홈플러스 3층,02-3470-3499,www.lottecinema.co.kr
경기도,용인시,002246,롯데시네마 용인역북,7,"1,002",0,7,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2019-01-16,영업,직영,경기도 용인시 처인구 역북동 802 번지 더와이스퀘어 5층(역북동),,
경기도,용인시,002251,롯데시네마 수지,8,"1,331",0,8,4,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2019-08-29,영업,직영,경기도 용인시 수지구 성복동 789 번지 롯데몰 수지점 5층,,
경기도,하남시,002275,롯데시네마 하남미사,8,890,0,8,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2021-08-18,영업,위탁,경기도 하남시 덕풍동 831-1 번지 지하 1층,1544-8855,http://www.lottecinema.co.kr
경기도,시흥시,002282,롯데시네마 시흥장현,5,652,0,5,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2021-12-15,영업,직영,경기도 시흥시 능곡동 235-1 번지 6F 롯데시네마 시흥장현,02-1544-8855,http://www.lottecinema.co.kr
경기도,시흥시,002182,롯데시네마 시화,8,524,0,8,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2011-11-06,영업,위탁,경기도 시흥시 정왕동 2327-2 번지,1544-8855,http://www.lottecinema.co.kr/
경기도,남양주시,002035,롯데시네마 마석,2,172,0,2,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2013-06-27,영업,직영,경기도 남양주시 화도읍 255-24 번지 롯데마트 마석점,1544-8855,www.lottecinema.co.kr
경기도,남양주시,002272,롯데시네마 별내,5,775,0,5,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2021-05-01,영업,직영,경기도 남양주시 별내동 1005 번지 지하 1~2층,02-1544-8855,http://www.lottecinema.co.kr
경기도,구리시,002055,롯데시네마 구리아울렛,7,"1,115",0,7,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2014-12-24,영업,직영,경기도 구리시 인창동 419-7 번지 6~8층 롯데시네마,1544-8855,
경기도,고양시,002199,롯데시네마 주엽,6,474,0,9,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2011-10-31,영업,위탁,경기도 고양시 일산서구 주엽동 22 번지 그랜드백화점일산점 10층,1544-8855,http://www.lottecinema.co.kr/
강원도,춘천시,003039,CGV 춘천,12,"1,714",0,14,5,0,1,상설,,가입,CJ올리브네트웍스(주),2008-02-28,영업,직영,강원도 춘천시 퇴계동 1017 번지,1544-1122,www.cgv.co.kr
경기도,고양시,002059,롯데시네마 라페스타(일산),8,745,0,8,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2003-07-17,영업,위탁,경기도 고양시 일산동구 장항동 764 번지 라페스타 C 3층,1544-8855,http://www.lottecinema.co.kr/
경기도,안산시,002107,롯데시네마 안산(롯데마트)_Charlotte관,1,32,0,1,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2005-09-07,영업,직영,경기도 안산시 상록구 성포동 590 번지 롯데마트 안산점 4층,1544-8855,http://www.lottecinema.co.kr/
경기도,안산시,002106,롯데시네마 안산,7,"1,575",0,7,3,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2005-09-06,영업,직영,경기도 안산시 상록구 성포동 590 번지 롯데마트 안산점 4층 (성포동 590),1544-8855,http://www.lottecinema.co.kr/
경기도,안산시,002068,롯데시네마 안산고잔,7,"1,788",0,7,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2015-07-17,영업,직영,경기도 안산시 단원구 고잔동 717-2 번지,,
경기도,안산시,002124,롯데시네마 센트럴락(안산),9,"1,429",0,9,3,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2007-02-01,영업,직영,경기도 안산시 단원구 고잔동 539-2 번지 7~10층,1544-8855,http://www.lottecinema.co.kr/
경기도,평택시,002175,롯데시네마 송탄,5,932,0,5,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2008-09-06,영업,직영,경기도 평택시 서정동 818-36 번지,1544-8855,http://www.lottecinema.co.kr/
경기도,부천시,002212,롯데시네마 부천역,9,806,0,9,1,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2013-02-28,영업,위탁,경기도 부천시 원미구 심곡동 175-6 번지,1544-8855,http://www.lottecinema.co.kr/
경상남도,진주시,007030,메가박스 진주중안,9,907,0,9,1,0,0,상설,,가입,메가박스(주),2004-12-02,영업,위탁,경상남도 진주시 중안동 12-13 번지 4층,1544-0070,http://www.megabox.co.kr/
경상남도,사천시,007079,메가박스 삼천포,3,90,0,3,3,0,0,상설,,가입,메가박스(주),2017-07-19,영업,위탁,경상남도 사천시 실안동 1265 번지 아르떼 리조트 본관 4층,1544-0070,http://www.megabox.co.kr/
경상남도,창원시 마산회원구,007087,메가박스 창원내서,5,497,0,5,0,0,0,상설,,가입,메가박스(주),2020-06-24,영업,직영,경상남도 창원시 마산회원구 내서읍 1043-1 번지 10층,1544-0070,http://www.megabox.co.kr/
경상북도,예천군,006083,메가박스 경북도청,6,471,0,6,1,0,0,상설,,가입,메가박스(주),2019-08-23,영업,위탁,경상북도 예천군 호명면 산합리 1430 번지 3층,1544-0070,http://www.megabox.co.kr/
경기도,부천시,002045,CGV 부천역,8,"1,119",0,8,1,0,0,상설,,가입,CJ올리브네트웍스(주),2014-06-05,영업,직영,경기도 부천시 원미구 심곡동 383-1 번지 심곡동 시네마존 6층~8층,1544-1122,http://www.cgv.co.kr
경상북도,경산시,006070,메가박스 경산하양,5,573,0,5,1,0,0,상설,,가입,메가박스(주),2016-10-26,영업,위탁,경상북도 경산시 하양읍 607 번지,053-782-7458,http://www.megabox.co.kr/
경상북도,문경시,006065,메가박스 문경,3,259,0,3,0,0,0,상설,,가입,메가박스(주),2015-09-24,영업,직영,경상북도 문경시 모전동 859-2 번지 홈플러스 1층,1544-0070,http://www.megabox.co.kr
경상북도,구미시,006064,메가박스 구미강동,6,976,0,6,2,0,0,상설,,가입,메가박스(주),2012-12-22,영업,직영,경상북도 구미시 진평동 1023-2 번지 시네마월드 7층,1544-0070,http://www.megabox.co.kr/
경상북도,경주시,006006,메가박스 경주,3,359,0,3,0,0,0,상설,,가입,메가박스(주),2010-08-01,영업,위탁,경상북도 경주시 노동동 55-1 번지,1544-0070,http://www.megabox.co.kr/
경기도,안양시,002019,롯데시네마 안양(안양역),7,"1,114",0,7,3,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2002-05-10,영업,직영,경기도 안양시 만안구 안양동 88-1 번지,1544-8855,http://www.lottecinema.co.kr/
경기도,안양시,002036,롯데시네마 인덕원,6,916,0,6,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2013-10-29,영업,위탁,경기도 안양시 동안구 관양동 1502-6 번지 아이퍼스트타워 7층,1544-8855,www.lottetcinema.co.kr
경기도,안양시,002179,CGV 평촌,10,"1,391",0,10,3,0,0,상설,,가입,CJ올리브네트웍스(주),2014-06-03,영업,직영,경기도 안양시 동안구 관양동 1606 번지 8층,1544-1122,http://www.cgv.co.kr/
경기도,안양시,002205,롯데시네마 평촌(범계역)_Charlotte관,1,30,0,1,0,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2012-03-29,영업,직영,경기도 안양시 동안구 호계동 1039 번지,1544-8855,http://www.lottecinema.co.kr/
경기도,성남시,002075,CGV 판교,7,"1,282",0,7,4,1,1,상설,,가입,CJ올리브네트웍스(주),2015-08-20,영업,직영,경기도 성남시 분당구 백현동 541 번지 현대백화점 8층,1544-1122,www.cgv.co.kr
경기도,성남시,002213,롯데시네마 판교,7,"1,087",0,7,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2021-06-12,영업,직영,경기도 성남시 수정구 시흥동 296-3 번지 파미어스몰 지하 1층 롯데시네마 판교관,02-1544-8855,www.lottecinema.co.kr
경기도,성남시,002244,롯데시네마 성남중앙,9,"1,234",0,9,4,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2018-12-27,영업,직영,경기도 성남시 수정구 신흥동 4124 번지 신흥역 시네마타워 8~11층,1544-8855,https://www.lottecinema.co.kr
경기도,수원시,002264,롯데시네마 북수원,5,640,0,5,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2020-06-18,영업,직영,경기도 수원시 장안구 천천동 516 번지 3층 롯데시네마,,
경기도,수원시,002085,롯데시네마 광교아울렛,6,889,0,6,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2015-09-04,영업,직영,"경기도 수원시 영통구 이의동 1338 번지 롯데아울렛 광교점 4,5층",,
광주시,서구,016041,CGV 광주상무,13,"2,527",0,14,1,0,0,상설,,가입,CJ올리브네트웍스(주),2014-06-05,영업,직영,광주광역시 서구 치평동 1218-1 번지 프리미엄아울렛 6층,1544-1122,https://www.cgv.co.kr
경기도,수원시,002249,롯데시네마 서수원,6,791,0,6,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2019-07-16,영업,직영,경기도 수원시 권선구 금곡동 1114-1 번지 리더스빌딩 10층,02-1544-8855,
울산시,남구,014001,롯데시네마 울산(백화점),9,"1,480",0,9,4,1,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2001-08-24,영업,직영,울산광역시 남구 삼산동 1480-1 번지,1544-8855,http://www.lottecinema.co.kr/
인천시,계양구,015024,CGV 계양,8,"1,257",0,8,5,1,0,상설,,가입,CJ올리브네트웍스(주),2006-09-25,영업,직영,인천광역시 계양구 작전동 899-1 번지 8~11층,1544-1122,http://www.cgv.co.kr
대전시,서구,013035,롯데시네마 대전관저,7,"1,067",0,7,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2019-11-21,영업,직영,대전광역시 서구 관저동 1735 번지 디펠리체 5층 롯데시네마,02-1544-8855,http://www.lottecinema.co.kr
대전시,서구,013007,롯데시네마 대전(백화점),8,"1,144",0,8,2,0,0,상설,,가입,롯데컬처웍스(주)롯데시네마,2000-05-05,영업,직영,대전광역시 서구 괴정동 423-1 번지,1544-8855,http://www.lottecinema.co.kr/
전라남도,순천시,009029,메가박스 순천,7,920,0,7,7,0,0,상설,,가입,메가박스(주),2006-04-28,영업,위탁,전라남도 순천시 덕암동 151 번지 701호,1544-0070,http://www.megabox.co.kr/
전라북도,전주시,008054,메가박스 전주혁신,7,732,0,7,1,0,0,상설,,가입,메가박스(주),2020-11-05,영업,위탁,전라북도 전주시 덕진구 장동 1111 번지 2층,1544-0070,http://www.megabox.co.kr/
전라남도,여수시,009060,메가박스 여수웅천,8,"1,138",0,8,1,0,0,상설,,가입,메가박스(주),2017-12-20,영업,위탁,전라남도 여수시 웅천동 1720-1 번지,1544-0070,http://www.megabox.co.kr/
전라북도,전주시,008022,메가박스 전주송천,8,"1,058",0,8,6,0,0,상설,,가입,메가박스(주),2004-09-24,영업,위탁,전라북도 전주시 덕진구 송천동2가 661-15 번지 메가박스,1544-0070,http://www.megabox.co.kr/
